pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,sy_dist
"Wolf 327 b","Wolf 327",2024,"Transit",0.57347450000,1.24000000,2.53000000,3542.00,0.406000,28.53210000
"TOI-1751 b","TOI-1751",2024,"Transit",37.46852000000,2.95078450,19.50000000,5970.00,1.313700,113.33500000
"TOI-1386 b","TOI-1386",2024,"Transit",25.84010000000,6.21638650,45.80000000,5735.00,1.023500,146.85800000
"TOI-1386 c","TOI-1386",2024,"Radial Velocity",232.00000000000,,75.20000000,5735.00,1.023500,146.85800000
"HD 134606 b","HD 134606",2024,"Radial Velocity",12.08900000000,,9.09000000,5576.00,1.158000,26.79090000
"HD 134606 c","HD 134606",2024,"Radial Velocity",58.88300000000,,11.31000000,5576.00,1.158000,26.79090000
"HD 134606 d","HD 134606",2024,"Radial Velocity",966.50000000000,,44.80000000,5576.00,1.158000,26.79090000
"HD 134606 e","HD 134606",2024,"Radial Velocity",4.32030000000,,2.34000000,5576.00,1.158000,26.79090000
"HD 134606 f","HD 134606",2024,"Radial Velocity",26.91500000000,,5.63000000,5576.00,1.158000,26.79090000
"TOI-238 b","TOI-238",2024,"Transit",1.27309900000,1.55900000,3.37000000,5059.00,0.756000,80.54070000
"TOI-238 c","TOI-238",2024,"Radial Velocity",8.46565100000,2.18000000,6.70000000,5059.00,0.733000,80.54070000
"TOI-2266 b","TOI-2266",2024,"Transit",2.32631800000,1.54000000,,3200.00,0.240000,51.60040000
"CI Tau c","CI Tau",2024,"Radial Velocity",25.20000000000,,1144.18226520,,,157.99800000
"TOI-1994 b","TOI-1994",2024,"Transit",4.03371420000,13.67495645,7024.00779470,7700.00,2.300000,515.60300000
"Teegarden's Star d","Teegarden's Star",2024,"Radial Velocity",26.13000000000,,0.82000000,3034.00,0.120000,3.83078000
"TOI-1347 b","TOI-1347",2024,"Transit",0.84742346000,1.80000000,11.10000000,5464.00,0.830000,147.47600000
"TOI-1347 c","TOI-1347",2024,"Transit",4.84196200000,1.60000000,6.40000000,5464.00,0.830000,147.47600000
"TOI-1199 b","TOI-1199",2024,"Transit",3.67146300000,10.51402390,75.96098927,5710.00,1.450000,248.42700000
"TOI-1273 b","TOI-1273",2024,"Transit",4.63129600000,11.09689089,70.55790635,5690.00,1.060000,177.11800000
"TOI-1135 b","TOI-1135",2024,"Transit",8.02773270000,9.91994792,58.79825529,6320.00,1.202000,114.04800000
"TOI-4515 b","TOI-4515",2024,"Transit",15.26644600000,12.17000000,637.00000000,5433.00,0.860000,193.49900000
"LHS 1678 d","LHS 1678",2024,"Transit",4.96522290000,0.98100000,,3490.00,0.329000,19.87820000
"HS Psc b","HS Psc",2024,"Radial Velocity",3.98600000000,,464.02947422,4203.00,0.650000,37.66040000
"NGC 2682 Sand 1429 b","NGC 2682 Sand 1429",2024,"Radial Velocity",77.48000000000,,572.09113260,6000.00,2.130000,852.79300000
"HD 77946 b","HD 77946",2024,"Transit",6.52736300000,2.89646124,10.90000000,6007.00,1.317400,99.45100000
"TOI-4438 b","TOI-4438",2024,"Transit",7.44628000000,2.52000000,5.40000000,3422.00,0.372000,30.03460000
"NGTS-30 b","NGTS-30",2024,"Transit",98.29838000000,10.40193409,305.11527072,5455.00,0.913000,238.37700000
"HD 104067 c","HD 104067",2024,"Radial Velocity",13.89920000000,,13.20000000,4952.00,0.780000,20.36320000
"TOI-771 b","TOI-771",2024,"Transit",2.32601550000,1.36000000,2.47000000,3370.00,0.232000,25.27880000
"TOI-871 b","TOI-871",2024,"Transit",14.36256500000,1.66400000,,4929.00,0.719000,68.04730000
"TOI-1467 b","TOI-1467",2024,"Transit",5.97114713000,1.92000000,,3834.00,0.491000,37.44180000
"TOI-1739 b","TOI-1739",2024,"Transit",8.30334140600,1.94600000,,4814.00,0.781000,70.98190000
"TOI-2068 b","TOI-2068",2024,"Transit",7.76891500000,1.82100000,,3710.00,0.535000,52.93280000
"TOI-4559 b","TOI-4559",2024,"Transit",3.96599100000,1.41500000,,3558.00,0.374000,31.63540000
"TOI-5799 b","TOI-5799",2024,"Transit",4.16450700000,1.73300000,,3452.00,0.321000,27.81230000
"M62H b","M62H",2024,"Pulsar Timing",0.13293502800,,785.03616529,,,
"OGLE-2017-BLG-0640L b","OGLE-2017-BLG-0640L",2024,"Microlensing",,,514.88201934,,,6630.00000000
"OGLE-2017-BLG-1275L b","OGLE-2017-BLG-1275L",2024,"Microlensing",,,1875.18760130,,,7690.00000000
"OGLE-2017-BLG-1237L b","OGLE-2017-BLG-1237L",2024,"Microlensing",,,1207.74794660,,,6030.00000000
"KMT-2023-BLG-0416L b","KMT-2023-BLG-0416L",2024,"Microlensing",,,13.03096469,,,5900.00000000
"KMT-2023-BLG-1454L b","KMT-2023-BLG-1454L",2024,"Microlensing",,,200.23189641,,,7220.00000000
"KMT-2023-BLG-1642L b","KMT-2023-BLG-1642L",2024,"Microlensing",,,343.25467956,,,6980.00000000
"HIP 39017 b","HIP 39017",2024,"Imaging",31000.00000000000,,7500.75040520,,,66.32170000
"TOI-4336 A b","TOI-4336 A",2024,"Transit",16.33635100000,2.13700000,3.33000000,3307.00,0.326000,22.54550000
"TIC 139270665 b","TIC 139270665",2024,"Transit",23.62400000000,7.22979255,147.15455244,5844.00,1.016000,189.87500000
"TIC 139270665 c","TIC 139270665",2024,"Radial Velocity",1010.00000000000,,1554.18091023,5844.00,1.016000,189.87500000
"TOI-815 b","TOI-815",2024,"Transit",11.19725900000,2.94000000,7.60000000,4869.00,0.770000,59.71170000
"TOI-815 c","TOI-815",2024,"Transit",34.97614500000,2.62000000,23.50000000,4869.00,0.770000,59.71170000
"TOI-5720 b","TOI-5720",2024,"Transit",1.43445550000,1.09000000,4.30000000,3325.00,0.383000,35.82560000
"TOI-6008 b","TOI-6008",2024,"Transit",0.85743470000,1.03000000,4.00000000,3075.00,0.242000,23.10080000
"TOI-6086 b","TOI-6086",2024,"Transit",1.38887250000,1.18000000,,3200.00,0.259000,31.45660000
"UCAC3 113-933 b","UCAC3 113-933",2024,"Imaging",,,6674.39654700,,,52.58290000
"UCAC4 328-061594 b","UCAC4 328-061594",2024,"Imaging",,,6674.39654700,,,39.90890000
"GJ 900 b","GJ 900 A",2024,"Imaging",,,3496.11247700,,,20.80650000
"TOI-1450 A b","TOI-1450 A",2024,"Transit",2.04392740000,1.13000000,1.25800000,3437.00,0.483000,22.44670000
"TOI-1450 A c","TOI-1450 A",2024,"Transit",5.06880000000,,1.52700000,3437.00,0.483000,22.44670000
"2MASS J11550485-7919108 b","2MASS J11550485-7919108",2024,"Imaging",,,6356.56814000,,,100.86200000
"2MASS J21252752-8138278 b","2MASS J21252752-8138278",2024,"Imaging",,,3813.94088400,,,34.11540000
"TOI-4633 c","TOI-4633",2024,"Transit",271.94450000000,3.20000000,123.00000000,5800.00,1.050000,95.20160000
"Gliese 12 b","Gliese 12",2024,"Transit",12.76141800000,0.93000000,0.95000000,3328.00,0.265000,12.21000000
"TOI-5076 b","TOI-5076",2024,"Transit",23.44316200000,3.48935569,16.14568308,4780.00,0.844000,82.85700000
"HD 73344 b","HD 73344",2024,"Transit",15.61100000000,2.88400000,10.48000000,6252.60,1.220000,35.26000000
"TIC 393818343 b","TIC 393818343",2024,"Transit",16.24921000000,12.18416202,1379.37528638,5756.00,1.086000,93.73450000
"NGTS-26 b","NGTS-26",2024,"Transit",4.51992790000,14.88552637,92.80589484,5550.00,1.160000,1093.69000000
"NGTS-27 b","NGTS-27",2024,"Transit",3.37041810000,15.64773706,188.47224535,5700.00,1.770000,942.12200000
"TOI-2447 b","TOI-2447",2024,"Transit",69.33684000000,9.60609646,124.90656395,5730.00,1.006000,148.98700000
"TOI-128.01","TOI-128",2024,"Transit",4.94046810000,2.21898000,,6086.00,1.130000,68.47270000
"TOI-406.01","TOI-406",2024,"Transit",13.17568200000,2.08000000,6.57000000,3392.00,0.410000,31.05970000
"TOI-654.01","TOI-654",2024,"Transit",1.52756100000,2.37800000,8.71000000,3521.00,0.430000,57.75530000
"TOI-880.02","TOI-880",2024,"Transit",2.57571000000,2.19000000,,5050.00,0.830000,60.66790000
"TOI-907.01","TOI-907",2024,"Transit",4.58491290000,9.61588510,,6272.00,2.059789,312.52900000
"TOI-1410.01","TOI-1410",2024,"Transit",1.21687000000,3.10083009,12.50000000,4635.00,0.755800,72.75120000
"TOI-1683.01","TOI-1683",2024,"Transit",3.05753560000,2.63820000,,4402.00,0.700000,51.18840000
"TOI-1798.02","TOI-1798",2024,"Transit",0.43781182200,1.46400000,,5165.00,0.780000,113.18100000
"TOI-1806.01","TOI-1806",2024,"Transit",15.14546930000,3.40953670,,3272.00,0.401575,55.52110000
"TOI-3353.01","TOI-3353",2024,"Transit",4.66579650000,2.66675550,,6365.00,1.020700,78.75770000
"TOI-4443.01","TOI-4443",2024,"Transit",1.84985670000,1.71932650,,5834.00,1.017330,56.07390000
"TOI-4495 c","TOI-4495",2024,"Transit",5.18553000000,4.03000000,23.20000000,6210.00,1.309000,132.21400000
"TOI-4527.01","TOI-4527",2024,"Transit",0.39944450000,0.90866170,,3702.00,0.485948,18.10370000
"TOI-4602.01","TOI-4602",2024,"Transit",3.98120910000,2.55044900,,6011.90,1.156640,63.06370000
"TOI-5082.01","TOI-5082",2024,"Transit",4.24012200000,2.54811000,,5670.00,0.930000,43.14060000
"TOI-5388.01","TOI-5388",2024,"Transit",2.59467480000,0.99000000,2.20000000,3440.00,0.300000,18.52260000
"OGLE-2023-BLG-0836L b","OGLE-2023-BLG-0836L",2024,"Microlensing",,,1385.73185452,,,5120.00000000
